编号,名称,电压等级,本侧站,对侧站,正序阻抗,零序阻抗,长度(km),调度名称对应
9643,5052,500kV,沂南站,,0+j0,0+j0,0,
9644,5053,500kV,沂南站,,0+j0,0+j0,0,
9645,5061,500kV,沂南站,,0+j0,0+j0,0,
9646,5062,500kV,沂南站,,0+j0,0+j0,0,
9647,5063,500kV,沂南站,,0+j0,0+j0,0,
9648,5071,500kV,沂南站,,0+j0,0+j0,0,
9649,5072,500kV,沂南站,,0+j0,0+j0,0,
9650,5073,500kV,沂南站,,0+j0,0+j0,0,
9651,5081,500kV,沂南站,,0+j0,0+j0,0,
9652,5082,500kV,沂南站,,0+j0,0+j0,0,
9653,5083,500kV,沂南站,,0+j0,0+j0,0,
9654,5091,500kV,沂南站,,0+j0,0+j0,0,
9655,5092,500kV,沂南站,,0+j0,0+j0,0,
9656,5093,500kV,沂南站,,0+j0,0+j0,0,
9658,T011,1000kV,沂南站,,0+j0,0+j0,0,
9660,T012,1000kV,沂南站,,0+j0,0+j0,0,
9662,T013,1000kV,沂南站,,0+j0,0+j0,0,
9663,T021,1000kV,沂南站,,0+j0,0+j0,0,
9664,T022,1000kV,沂南站,,0+j0,0+j0,0,
9665,T023,1000kV,沂南站,,0+j0,0+j0,0,
9675,开关14,220kV,沂南站,,0+j0,0+j0,0,
